"participant","age","gender","exclude","IAT_condition","task_order","IAT_D1","SCIAT_D1","rmts_perc_acc","rmts_mastery","mean_rating","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","SCIAT_mean_RT","SCIAT_perc_acc","SCIAT_exclude_based_on_fast_trials"
408207897,22,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.932,0.047,18.8,"fail",3.83,793,91.67,FALSE,595,93.33,FALSE
408698055,25,"male",TRUE,"Insects-Chinese IAT","evaluation tasks first",-0.403,-0.849,75,"fail",3,758,75,FALSE,465,62,TRUE
411004218,21,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.669,-0.053,62.5,"fail",4.17,635,74.17,FALSE,547,82,FALSE
417009541,32,"male",FALSE,"Insects-Chinese IAT","rmts first",0.387,-0.181,50,"fail",4.33,946,88.33,FALSE,841,92.67,FALSE
418126935,37,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.048,-0.291,43.8,"fail",4,592,96.67,FALSE,556,96.67,FALSE
426569000,34,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.166,-0.095,12.5,"fail",5.17,677,92.5,FALSE,532,92.67,FALSE
426797854,20,"male",FALSE,"Insects-Chinese IAT","rmts first",-0.555,0.224,50,"fail",4.5,1184,95.83,FALSE,863,97.32,FALSE
427445931,28,"woman",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.203,-0.171,43.8,"fail",5.83,1262,85,FALSE,1134,91.33,FALSE
433095860,52,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.78,-0.071,0,"fail",4,788,97.5,FALSE,698,98.67,FALSE
436888456,28,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.608,0.045,25,"fail",5.33,1601,92.5,FALSE,1087,95.33,FALSE
439114050,27,"male ",FALSE,"Flowers-Chinese IAT","rmts first",-0.288,0.057,81.2,"fail",4.5,656,84.17,FALSE,569,86.67,FALSE
441229036,24,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.02,-0.371,37.5,"fail",4.67,920,100,FALSE,764,99.33,FALSE
441839737,39,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.737,-0.054,18.8,"fail",4,732,99.17,FALSE,623,100,FALSE
