participant,trial_n,recip_rt_sciat_block_2,accuracy,rt,age,gender,exclude,IAT_condition,attribute_condition,recip_rt_sciat_block_1
4303807,67,0.856898029134533,1,498,45,male,FALSE,Insects,nonword attributes,2.0080321285140563
4303807,68,1.4104372355430184,1,644,45,male,FALSE,Insects,nonword attributes,1.5527950310559007
4303807,69,1.5847860538827259,1,551,45,male,FALSE,Insects,nonword attributes,1.8148820326678765
4303807,70,0.7651109410864575,1,599,45,male,FALSE,Insects,nonword attributes,1.669449081803005
5034407,1,1.6233766233766234,1,966,58,female,FALSE,Insects,nonword attributes,1.0351966873706004
5034407,2,1.0482180293501049,1,536,58,female,FALSE,Insects,nonword attributes,1.8656716417910448
5034407,3,1.3157894736842106,1,568,58,female,FALSE,Insects,nonword attributes,1.7605633802816902
5034407,4,1.8181818181818181,1,752,58,female,FALSE,Insects,nonword attributes,1.3297872340425532
5034407,5,1.6,1,812,58,female,FALSE,Insects,nonword attributes,1.2315270935960592
5034407,6,1.8083182640144666,1,528,58,female,FALSE,Insects,nonword attributes,1.893939393939394
5034407,7,1.6233766233766234,1,1047,58,female,FALSE,Insects,nonword attributes,0.9551098376313276
5034407,8,2.1321961620469083,1,695,58,female,FALSE,Insects,nonword attributes,1.4388489208633093
5034407,9,1.7094017094017093,1,613,58,female,FALSE,Insects,nonword attributes,1.6313213703099512
5034407,10,0.5449591280653951,1,547,58,female,FALSE,Insects,nonword attributes,1.8281535648994516
5034407,11,1.7241379310344827,1,584,58,female,FALSE,Insects,nonword attributes,1.7123287671232876
5034407,12,1.8867924528301887,0,1167,58,female,FALSE,Insects,nonword attributes,0.856898029134533
5034407,13,1.607717041800643,1,887,58,female,FALSE,Insects,nonword attributes,1.1273957158962795
5034407,14,1.1160714285714286,1,505,58,female,FALSE,Insects,nonword attributes,1.9801980198019802
5034407,15,2.375296912114014,0,1634,58,female,FALSE,Insects,nonword attributes,0.6119951040391677
5034407,16,0.9066183136899365,1,583,58,female,FALSE,Insects,nonword attributes,1.7152658662092624
5034407,17,1.8281535648994516,1,696,58,female,FALSE,Insects,nonword attributes,1.4367816091954022
5034407,18,1.8552875695732838,1,816,58,female,FALSE,Insects,nonword attributes,1.2254901960784315
5034407,19,2.262443438914027,1,607,58,female,FALSE,Insects,nonword attributes,1.6474464579901154
5034407,20,2.288329519450801,1,588,58,female,FALSE,Insects,nonword attributes,1.7006802721088434
5034407,21,1.8050541516245486,1,575,58,female,FALSE,Insects,nonword attributes,1.7391304347826086
5034407,22,2.2222222222222223,1,635,58,female,FALSE,Insects,nonword attributes,1.5748031496062993
5034407,23,2.092050209205021,0,1678,58,female,FALSE,Insects,nonword attributes,0.5959475566150179
5034407,24,2.5380710659898478,1,541,58,female,FALSE,Insects,nonword attributes,1.8484288354898337
5034407,25,2.506265664160401,1,571,58,female,FALSE,Insects,nonword attributes,1.7513134851138354
5034407,26,1.4326647564469914,1,530,58,female,FALSE,Insects,nonword attributes,1.8867924528301887
5034407,27,1.9047619047619047,1,462,58,female,FALSE,Insects,nonword attributes,2.1645021645021645
5034407,28,2.074688796680498,1,640,58,female,FALSE,Insects,nonword attributes,1.5625
